network,phase,game_num,round,blocker_strategy_id,adversary_strategy_id,blocker_q_max,adversary_q_max,norm_influence,network_type,source
BA-800-m3,train,0,0,3,3,-1.2094924,0.2953677,0.084,BA,synthetic
BA-800-m3,train,0,1,3,3,-1.1603732,0.28410658,0.124375,BA,synthetic
BA-800-m3,train,0,2,3,3,-1.1138303,0.2732789,0.183625,BA,synthetic
BA-800-m3,train,0,3,3,3,-1.0699763,0.2627994,0.192125,BA,synthetic
BA-800-m3,train,0,4,3,3,-1.027211,0.2521678,0.23625,BA,synthetic
BA-800-m3,train,0,5,3,3,-0.9852016,0.24146076,0.242375,BA,synthetic
BA-800-m3,train,0,6,3,3,-0.94360477,0.23065989,0.256,BA,synthetic
BA-800-m3,train,0,7,3,3,-0.90274096,0.22008334,0.26975,BA,synthetic
BA-800-m3,train,0,8,2,3,-0.86158156,0.20976318,0.280875,BA,synthetic
BA-800-m3,train,0,9,2,3,-0.81918555,0.19871347,0.2605,BA,synthetic
BA-800-m3,train,0,10,2,3,-0.77735424,0.18753581,0.304875,BA,synthetic
BA-800-m3,train,0,11,2,3,-0.73562455,0.17609783,0.293625,BA,synthetic
BA-800-m3,train,0,12,2,2,-0.6932832,0.16565992,0.311,BA,synthetic
BA-800-m3,train,0,13,2,2,-0.65139276,0.15720697,0.30425,BA,synthetic
BA-800-m3,train,0,14,2,2,-0.60902554,0.14815499,0.2875,BA,synthetic
BA-800-m3,train,0,15,2,2,-0.5633917,0.13744561,0.326125,BA,synthetic
BA-800-m3,train,0,16,2,1,-0.5143399,0.1294106,0.302,BA,synthetic
BA-800-m3,train,0,17,2,1,-0.4596791,0.11953141,0.336,BA,synthetic
BA-800-m3,train,0,18,2,1,-0.39172262,0.10846546,0.308875,BA,synthetic
BA-800-m3,train,0,19,2,1,-0.3128769,0.09044754,0.33112499999999995,BA,synthetic
BA-800-m3,train,0,20,2,1,-0.22728257,0.06575358,0.34387500000000004,BA,synthetic
BA-800-m3,train,0,21,2,1,-0.13426284,0.03582303,0.36375,BA,synthetic
BA-800-m3,train,0,22,0,1,-0.03289349,0.00247778,0.3735,BA,synthetic
BA-800-m3,train,0,23,0,1,0.08214506,-0.031816237,0.33125,BA,synthetic
BA-800-m3,train,0,24,0,1,0.19709912,-0.066966556,0.37262500000000004,BA,synthetic
BA-800-m3,train,0,25,0,1,0.3087319,-0.101778515,0.35350000000000004,BA,synthetic
BA-800-m3,train,0,26,0,1,0.3674616,-0.13659924,0.367875,BA,synthetic
BA-800-m3,train,0,27,0,1,0.39282182,-0.16828927,0.364625,BA,synthetic
BA-800-m3,train,0,28,0,1,0.4133711,-0.1904782,0.39649999999999996,BA,synthetic
BA-800-m3,train,0,29,0,1,0.43291146,-0.2065174,0.390625,BA,synthetic
BA-800-m3,train,1,0,3,3,-1.2094924,0.29536766,0.08175,BA,synthetic
BA-800-m3,train,1,1,3,3,-1.1603732,0.28410655,0.17775,BA,synthetic
BA-800-m3,train,1,2,3,3,-1.1138303,0.2732789,0.176375,BA,synthetic
BA-800-m3,train,1,3,3,3,-1.0699763,0.2627994,0.16287500000000002,BA,synthetic
BA-800-m3,train,1,4,3,3,-1.0272108,0.25216782,0.177,BA,synthetic
BA-800-m3,train,1,5,3,3,-0.98520166,0.24146077,0.266375,BA,synthetic
BA-800-m3,train,1,6,3,3,-0.94360477,0.23065986,0.247875,BA,synthetic
BA-800-m3,train,1,7,3,3,-0.90274096,0.22008333,0.254375,BA,synthetic
BA-800-m3,train,1,8,2,3,-0.8615816,0.2097632,0.276875,BA,synthetic
BA-800-m3,train,1,9,2,3,-0.8191855,0.19871345,0.279125,BA,synthetic
